id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rates,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,995.0,1000.0,100.0,0.1825,360.97,36.097,1072.82,107.282,10.0,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,1200.0,12000.0,1200.0,0.20989999999999998,324.58,32.458,959.75,95.975,10.0,10.0,1.0,60.0,25.0,1.0,0.0
707689.0,10000.0,5000.0,10000.0,5000.0,0.1366,340.13,170.065,3726.25,1863.125,2.0,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,2720.0,27200.0,2720.0,0.2899,553.87,55.387,41913.62,4191.362,10.0,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,3800.0,11400.0,3800.0,0.2899,376.09,125.36333333333333,3753.6,1251.2,3.0,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,3750.0,15000.0,3750.0,0.1561,361.67,90.4175,2880.35,720.0875,4.0,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,2700.0,10800.0,2700.0,0.2899,328.22,82.055,2950.42,737.605,4.0,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,14877.719671713601,18000.0,14877.719671713601,0.2899,370.78,306.46449443766494,4432.02,3663.241729968229,1.2098628282546997,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,5175.0,1000.0,500.0,0.2299,291.72,145.86,1432.16,716.08,2.0,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,3500.0,7000.0,3500.0,0.2899,233.81,116.905,7300.41,3650.205,2.0,2.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,4162.5,24975.0,4162.5,0.2899,549.65,91.60833333333333,3831.55,638.5916666666667,6.0,6.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,6000.0,12000.0,6000.0,0.2899,275.07,137.535,2799.58,1399.79,2.0,2.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,6000.0,12000.0,6000.0,0.1399,279.16,139.58,2846.33,1423.165,2.0,2.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,17357.3396169992,21000.0,17357.3396169992,0.2899,471.29,389.5400280045502,5155.28,4261.045037177316,1.2098628282546997,1.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,5250.0,21000.0,5250.0,0.2899,687.42,171.855,41913.62,10478.405,4.0,4.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,3200.0,32000.0,3200.0,0.2899,1005.43,100.54299999999999,3089.0,308.9,10.0,10.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,17770.609607880135,21500.0,17770.609607880135,0.2899,482.51,398.81380659991834,23855.94,19717.888212512185,1.2098628282546997,1.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,5000.0,15000.0,5000.0,0.1399,348.95,116.31666666666666,41913.62,13971.206666666667,3.0,3.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,4000.0,20000.0,4000.0,0.1333,677.07,135.41400000000002,21119.05,4223.8099999999995,5.0,5.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,4500.0,27000.0,4500.0,0.2899,586.92,97.82,4075.47,679.245,6.0,6.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,14000.0,28000.0,14000.0,0.2899,863.54,431.77,9472.03,4736.015,2.0,2.0,1.0,36.0,4.0,0.0,3.0
22403153.0,11200.0,5600.0,11200.0,5600.0,0.2899,373.56,186.78,1113.03,556.515,2.0,2.0,0.0,36.0,11.0,0.0,3.0
25276117.0,28000.0,23143.119489332268,1000.0,826.5399817618668,0.2899,587.92,485.93938607743667,7040.28,5819.072902798435,1.2098628282546997,1.0,1.0,60.0,7.0,1.0,4.0
31207716.0,35000.0,17500.0,35000.0,17500.0,0.2899,790.82,395.41,8674.34,4337.17,2.0,2.0,1.0,60.0,12.0,1.0,1.0
31888135.0,4950.0,450.0,4950.0,450.0,0.1999,183.94,16.721818181818183,178.44,16.221818181818183,11.0,11.0,1.0,36.0,24.0,1.0,2.0
34462110.0,14400.0,7200.0,14400.0,7200.0,0.2899,480.98,240.49,5280.87,2640.435,2.0,2.0,1.0,36.0,11.0,1.0,3.0
34883768.0,10300.0,8513.361812147228,10300.0,8513.361812147228,0.2899,320.35,264.78208315741404,3839.91,3173.83914136721,1.2098628282546997,1.0,1.0,36.0,4.0,0.0,4.0
35683282.0,22400.0,18514.495591465813,22400.0,18514.495591465813,0.2899,686.44,567.3701050806159,8221.13,6795.092640261935,1.2098628282546997,1.0,1.0,36.0,2.0,1.0,0.0
36169417.0,24000.0,19836.959562284803,24000.0,19836.959562284803,0.1559,578.42,478.08725625069894,6899.47,5702.687807966547,1.2098628282546997,1.0,1.0,60.0,16.0,1.0,0.0
36201871.0,21000.0,17357.3396169992,21000.0,17357.3396169992,0.2899,639.15,528.2830293430972,7655.73,6327.766934573776,1.2098628282546997,1.0,1.0,36.0,1.0,1.0,4.0
36241014.0,20000.0,16530.799635237334,20000.0,16530.799635237334,0.2899,411.98,340.5179416862539,4934.13,4078.2557202106796,1.2098628282546997,1.0,1.0,60.0,6.0,1.0,2.0
36561402.0,9600.0,1371.4285714285713,9600.0,1371.4285714285713,0.2899,309.72,44.24571428571429,1852.99,264.71285714285716,7.0,7.0,1.0,36.0,8.0,1.0,2.0
36763239.0,15000.0,12398.099726428001,15000.0,12398.099726428001,0.17859999999999998,379.76,313.8868234738865,4527.35,3742.0357864295875,1.2098628282546997,1.0,1.0,60.0,20.0,1.0,0.0
36802496.0,7800.0,6447.01185774256,7800.0,6447.01185774256,0.2899,260.53,215.3384614484191,3120.99,2579.623017678968,1.2098628282546997,1.0,1.0,36.0,11.0,1.0,2.0
36806601.0,20000.0,inf,20000.0,inf,0.2899,640.57,inf,7665.75,inf,0.0,0.0,1.0,36.0,7.0,1.0,2.0
36950419.0,14000.0,11571.559744666134,14000.0,11571.559744666134,0.15990000000000001,340.38,281.3376789921042,4132.09,3415.337593238392,1.2098628282546997,1.0,1.0,60.0,17.0,1.0,1.0
37011266.0,28000.0,23143.119489332268,28000.0,23143.119489332268,0.1559,978.74,808.9677417496094,8760.16,7240.622486631034,1.2098628282546997,1.0,0.0,36.0,16.0,1.0,4.0
37051229.0,30000.0,24796.199452856003,30000.0,24796.199452856003,0.2899,667.19,551.4592104317,8366.84,6915.527781004457,1.2098628282546997,1.0,1.0,60.0,10.0,1.0,1.0
37068509.0,7000.0,5785.779872333067,7000.0,5785.779872333067,0.2899,242.63,200.54339577488173,2905.73,2401.702021204909,1.2098628282546997,1.0,1.0,36.0,15.0,1.0,3.0
37107114.0,25000.0,20663.49954404667,25000.0,20663.49954404667,0.2899,766.12,633.2288108274014,9175.41,7583.84321405765,1.2098628282546997,1.0,1.0,36.0,2.0,1.0,2.0
37257668.0,12000.0,9918.479781142401,12000.0,9918.479781142401,0.2899,377.09,311.67996172258233,4514.16,3731.133724070148,1.2098628282546997,1.0,1.0,36.0,5.0,1.0,2.0
37267742.0,12000.0,9918.479781142401,12000.0,9918.479781142401,0.2899,377.09,311.67996172258233,4545.79,3757.277183693276,1.2098628282546997,1.0,0.0,36.0,5.0,0.0,2.0
37329129.0,8000.0,6612.319854094934,1000.0,826.5399817618668,0.2899,265.68,219.59514235449276,2911.82,2406.735649693839,1.2098628282546997,1.0,0.0,36.0,10.0,0.0,2.0
37600541.0,8000.0,inf,8000.0,inf,0.2899,251.4,inf,3009.52,inf,0.0,0.0,1.0,36.0,5.0,1.0,0.0
37601431.0,15000.0,12398.099726428001,15000.0,12398.099726428001,0.1366,346.39,286.30518428249303,4133.91,3416.8418960051986,1.2098628282546997,1.0,1.0,60.0,13.0,1.0,2.0
37612109.0,35000.0,28928.899361665335,11850.0,9794.498783878122,0.1714,423.32,349.8909050794334,5057.27,4180.0358535648365,1.2098628282546997,1.0,1.0,36.0,19.0,1.0,2.0
